,Synonyms
0,"['Anemia due to blood loss', 'Anemia due to chronic blood loss', 'Iron deficiency anemia due to blood loss', 'Normocytic anemia', 'Normocytic anemia due to chronic blood loss']"
1,"['Esophageal web', 'Plummer-Vinson syndrome']"
2,"['Achlorhydric anemia', 'Acquired iron deficiency anemia due to decreased absorption', 'Acquired iron deficiency anemia due to increased iron requirement', 'Congenital transferrin deficiency', 'Hypochromic microcytic anemia with iron overload', 'Iron deficiency anemia due to dietary causes', 'Iron deficiency anemia secondary to inadequate dietary iron intake', 'Iron-refractory iron deficiency anemia', 'Microcytic hypochromic anemia', 'Sideropenic anemia with reticuloendothelial siderosis']"
3,"['Anemia in mother complicating childbirth', 'Idiopathic hypochromic anemia', 'Iron deficiency anemia', 'Iron deficiency anemia in mother complicating childbirth', 'Iron deficiency anemia of pregnancy', 'Microcytic anemia', 'Microcytic hypochromic anemia', 'Microcytic normochromic anemia', 'Normocytic hypochromic anemia']"
4,"[""Biermer's congenital pernicious anemia"", 'Congenital deficiency of intrinsic factor', 'Megaloblastic anemia due to congenital deficiency of intrinsic factor', 'Megaloblastic anemia due to inborn errors of metabolism', 'Myasthenic syndrome due to another disorder', 'Myasthenic syndrome due to pernicious anemia', 'Pernicious anemia']"
5,"['Familial megaloblastic anemia', 'Megaloblastic anemia due to inborn errors of metabolism', 'Megaloblastic anemia due to vitamin B>12< malabsorption with proteinuria', 'Pernicious anemia', 'Selective malabsorption of cyanocobalamin', 'Vitamin B12 deficiency anemia due to malabsorption with proteinuria']"
6,['Transcobalamin II deficiency']
7,"['Megaloblastic anemia due to decreased intake of vitamin B>12<', 'Megaloblastic anemia due to vegetarianism', 'Pernicious anemia', ""Vegan's anemia"", 'Vitamin B12 deficiency anemia due to dietary causes']"
8,"['Hereditary vitamin B12 deficiency anemia', 'Megaloblastic anemia due to drugs', 'Megaloblastic anemia due to vitamin B12 deficiency secondary to intestinal disease', 'Thiamine-responsive macrocytosis', 'Vitamin B12 deficiency anemia caused by drug']"
9,"[""Biermer's congenital pernicious anemia"", 'Megaloblastic anemia due to vitamin B>12< deficiency', 'Pernicious anemia', 'Pernicious anemia', 'Selective malabsorption of cyanocobalamin', ""Vegan's anemia"", 'Vitamin B12 deficiency anemia due to dietary causes', 'Vitamin B12 deficiency anemia due to malabsorption with proteinuria']"
10,"['Folate deficiency anemia due to dietary causes', ""Goats' milk anemia"", 'Megaloblastic anemia due to dietary causes', 'Megaloblastic anemia due to folate deficiency', 'Megaloblastic anemia due to folate deficiency due to increased requirement', 'Megaloblastic anemia due to folate deficiency in pregnancy and lactation', 'Megaloblastic anemia due to increased requirements', 'Megaloblastic anemia due to poor nutrition']"
11,"['Folate deficiency anemia, drug-induced']"
12,"['Congenital folate malabsorption anemia', 'Folate deficiency anemia due to liver disorders', 'Folate deficiency anemia due to malabsorption', 'Hereditary folate deficiency anemia', 'Megaloblastic anemia due to error of folate metabolism', 'Megaloblastic anemia due to inborn errors of metabolism']"
13,[]
14,['Anemia due to protein deficiency']
15,"['Acute megaloblastic anemia', 'Acute megaloblastic anemia due to dialysis', 'Acute megaloblastic anemia due to nitrous oxide', 'Acute megaloblastic anemia due to severe illness', 'Acute megaloblastic anemia secondary to total parenteral nutrition', 'Anemia due to multiple mechanisms', 'Anemia of pregnancy', 'Combined B12 and folate deficiency anemia', 'Combined deficiency anemia', 'Cystic fibrosis with gastritis and megaloblastic anemia syndrome', 'Dimorphic anemia', 'Gastritis caused by bacterium', 'Helicobacter pylori gastrointestinal tract infection', 'Helicobacter pylori-associated gastritis', 'Helicobacter-associated gastritis', 'Juvenile type megaloblastic anemia', 'Megaloblastic anemia', 'Megaloblastic anemia due to alcoholism', 'Megaloblastic anemia due to blind loop syndrome', 'Megaloblastic anemia due to chronic hemolytic anemia', 'Megaloblastic anemia due to decreased intake of vitamin B>12<', 'Megaloblastic anemia due to disease of small intestine', 'Megaloblastic anemia due to drugs', 'Megaloblastic anemia due to drugs', 'Megaloblastic anemia due to error of cobalamin metabolism', 'Megaloblastic anemia due to exfoliative dermatitis', 'Megaloblastic anemia due to fish tapeworm', 'Megaloblastic anemia due to gastrectomy', 'Megaloblastic anemia due to hemodialysis', 'Megaloblastic anemia due to hyperalimentation', 'Megaloblastic anemia due to hyperalimentation', 'Megaloblastic anemia due to impaired absorption of folate', 'Megaloblastic anemia due to inborn errors of metabolism', 'Megaloblastic anemia due to increased requirements', 'Megaloblastic anemia due to nontropical sprue', 'Megaloblastic anemia due to pancreatic insufficiency', 'Megaloblastic anemia due to pregnancy', 'Megaloblastic anemia due to tropical sprue', 'Megaloblastic anemia due to vitamin B>12< deficiency', 'Megaloblastic anemia due to Zollinger-Ellison syndrome', 'Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness', 'Megaloblastic erythropoiesis', 'Pernicious anemia', 'Refractory megaloblastic anemia', 'Thiamine-responsive megaloblastic anemia']"
16,['Vitamin C deficiency anemia']
17,"['Acquired thiamine deficiency anemia', 'Anemia due to copper deficiency', 'Anemia due to niacin deficiency', 'Anemia due to pantothenic deficiency', 'Anemia due to riboflavin deficiency', 'Anemia due to vitamin A deficiency', 'Anemia due to vitamin B>6< deficiency', 'Anemia due to vitamin E deficiency', 'Anemia due to zinc deficiency', 'Deficiency anemias, excluding iron']"
18,"['Anemia due to starvation', 'Deficiency anemias', 'Macrocytic anemia', 'Non megaloblastic anemia associated with nutritional deficiency', 'Non megaloblastic anemia due to alcoholism', 'Nutritional anemia', 'Simple chronic anemia']"
